From, to, distance in meters, calcTime, journeysFound, bestPickDeparture,bestPickTime, worstPickDeparture, worstPickTime
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/007015400,457979.7,1171,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/007015440,425476.9,1079,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008008094,134340.7,1047,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008010053,186086.1,1181,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008010184,164208.7,1181,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008010316,155402,1049,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008011068,190040.5,1028,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008011090,183491.6,1063,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008015345,72627.41,4038,6,201909-18T06:49:00,9000,2019-09-18T06:49:00,9000
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008015458,113739.4,1057,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008015588,113342.8,1202,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008032572,151821,1168,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008039904,141489.9,1119,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008200100,58725.05,5630,21,201909-18T06:38:00,8220,2019-09-18T06:38:00,8220
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008200101,55056.57,2437,1,201909-18T16:55:00,9540,2019-09-18T16:55:00,9540
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008200102,56620.86,3661,21,201909-18T06:26:00,7860,2019-09-18T06:26:00,7860
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008200110,42075.69,3418,21,201909-18T06:15:00,7140,2019-09-18T06:15:00,7140
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008200120,31317.87,3973,21,201909-18T06:08:00,6420,2019-09-18T06:08:00,6420
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008200128,25726.99,3658,21,201909-18T06:01:00,6120,2019-09-18T06:01:00,6120
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008200130,18770.5,3466,21,201909-18T05:54:00,5580,2019-09-18T05:54:00,5580
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008200132,14702.52,3488,21,201909-18T05:50:00,5220,2019-09-18T05:50:00,5220
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008200133,11497.75,3675,21,201909-18T05:44:00,4980,2019-09-18T05:44:00,4980
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008200134,7708.076,3731,21,201909-18T05:35:00,4560,2019-09-18T05:35:00,4560
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008200510,56664.11,3997,23,201909-18T15:58:00,12840,2019-09-18T10:28:00,21840
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008200516,55109.49,3676,23,201909-18T15:50:00,12480,2019-09-18T10:20:00,21480
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008200518,52945.22,3767,23,201909-18T15:46:00,12180,2019-09-18T10:16:00,21180
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008200520,53127.53,3975,23,201909-18T15:43:00,11880,2019-09-18T10:13:00,20880
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008200940,64332.57,4304,26,201909-18T12:07:00,13380,2019-09-18T10:07:00,20580
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008210014,55936.55,3836,23,201909-18T15:55:00,12660,2019-09-18T10:25:00,21660
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008400058,259069.3,5634,11,201909-18T11:24:00,18720,2019-09-18T10:24:00,22320
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008400131,184986,5698,9,201909-18T08:01:00,13920,2019-09-18T08:01:00,13920
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008400180,208745.8,1515,0
