From, to, distance in meters, calcTime, journeysFound, bestPickDeparture,bestPickTime, worstPickDeparture, worstPickTime
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008815040,143730.1,578,5,2019-09-18T07:06:00,9900,2019-09-18T07:06:00,9900
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008819406,137692.8,1459,7,2019-09-18T07:04:00,9720,2019-09-18T19:18:00,10500
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821006,165048,1818,9,2019-09-18T07:26:00,11040,2019-09-18T19:59:00,13020
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821022,163520.5,176,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821030,166012.1,168,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821048,172992,162,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821063,167066,1133,11,2019-09-18T07:37:00,11820,2019-09-18T10:08:00,20880
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821071,169757.7,1096,33,2019-09-18T13:58:00,12900,2019-09-18T15:17:00,17580
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821089,168379.3,1013,11,2019-09-18T07:44:00,12060,2019-09-18T10:44:00,22860
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821105,167776.2,722,9,2019-09-18T07:49:00,12780,2019-09-18T07:49:00,12780
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821121,163060.1,1553,7,2019-09-18T07:18:00,10740,2019-09-18T19:27:00,10980
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821147,160968.3,1399,14,2019-09-18T07:23:00,10860,2019-09-18T07:49:00,12480
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821154,161065.5,175,0
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821196,164967,1215,19,2019-09-18T07:48:00,12360,2019-09-18T08:37:00,15300
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821238,159674,994,23,2019-09-18T13:40:00,11760,2019-09-18T08:10:00,13560
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821246,158865,1180,23,2019-09-18T07:41:00,11880,2019-09-18T18:41:00,15480
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821311,155693.8,1101,23,2019-09-18T07:33:00,11460,2019-09-18T18:33:00,15060
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821337,157842.6,1122,23,2019-09-18T07:38:00,11700,2019-09-18T18:38:00,15300
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821402,184690.9,1017,33,2019-09-18T08:20:00,14280,2019-09-18T15:38:00,18960
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008821436,181107.9,1044,34,2019-09-18T08:16:00,14040,2019-09-18T10:52:00,23400
